case_id,prompt,variant,mjvideo_total,alignment,fineness,coherence_consistency
vbench_000,a person swimming in ocean,bf16,1.3776731491088867,1.4765625,0.41796875,0.8515625
vbench_000,a person swimming in ocean,nvfp4,1.1528809070587158,1.234375,0.271484375,0.7890625
vbench_000,a person swimming in ocean,nvfp4_svdquant,1.168186902999878,1.2578125,0.2294921875,0.75390625
vbench_001,a person giving a presentation to a room full of colleagues,bf16,1.3975094556808472,1.4921875,0.19140625,0.80078125
vbench_001,a person giving a presentation to a room full of colleagues,nvfp4,1.2575879096984863,1.3359375,0.1787109375,0.76953125
vbench_001,a person giving a presentation to a room full of colleagues,nvfp4_svdquant,1.283043622970581,1.3671875,0.158203125,0.7890625
vbench_002,a person washing the dishes,bf16,0.7444697618484497,0.8046875,-0.08740234375,0.61328125
vbench_002,a person washing the dishes,nvfp4,0.7073618769645691,0.76171875,-0.08056640625,0.60546875
vbench_002,a person washing the dishes,nvfp4_svdquant,0.7140965461730957,0.77734375,-0.150390625,0.58203125
vbench_003,a person eating a burger,bf16,0.49100637435913086,0.51953125,0.0052490234375,0.55078125
vbench_003,a person eating a burger,nvfp4,1.2937774658203125,1.421875,0.23828125,0.74609375
vbench_003,a person eating a burger,nvfp4_svdquant,1.0405164957046509,1.1328125,0.11669921875,0.72265625
vbench_004,a person walking in the snowstorm,bf16,1.2291066646575928,1.2890625,0.38671875,0.77734375
vbench_004,a person walking in the snowstorm,nvfp4,1.2648268938064575,1.328125,0.390625,0.8203125
vbench_004,a person walking in the snowstorm,nvfp4_svdquant,1.1701107025146484,1.234375,0.388671875,0.78125
vbench_005,a person drinking coffee in a cafe,bf16,1.5179860591888428,1.625,0.41015625,0.8515625
vbench_005,a person drinking coffee in a cafe,nvfp4,1.532629132270813,1.640625,0.43359375,0.84375
vbench_005,a person drinking coffee in a cafe,nvfp4_svdquant,1.4986293315887451,1.6015625,0.41015625,0.8515625
vbench_006,a person playing guitar,bf16,1.1800317764282227,1.2734375,0.29296875,0.84375
vbench_006,a person playing guitar,nvfp4,1.2938436269760132,1.40625,0.33984375,0.8359375
vbench_006,a person playing guitar,nvfp4_svdquant,1.2980401515960693,1.3984375,0.349609375,0.8828125
vbench_007,a bicycle leaning against a tree,bf16,0.8019238114356995,0.859375,0.11962890625,0.60546875
vbench_007,a bicycle leaning against a tree,nvfp4,1.161599040031433,1.234375,0.3515625,0.77734375
vbench_007,a bicycle leaning against a tree,nvfp4_svdquant,0.873677670955658,0.93359375,0.140625,0.62890625
vbench_008,a bicycle gliding through a snowy field,bf16,1.2901005744934082,1.3671875,0.4609375,0.84765625
vbench_008,a bicycle gliding through a snowy field,nvfp4,1.096067190170288,1.1484375,0.484375,0.84375
vbench_008,a bicycle gliding through a snowy field,nvfp4_svdquant,1.1895558834075928,1.265625,0.3203125,0.77734375
vbench_009,a bicycle slowing down to stop,bf16,-0.007542848587036133,-0.03173828125,-0.0234375,0.47265625
vbench_009,a bicycle slowing down to stop,nvfp4,-0.08808289468288422,-0.140625,-0.0057373046875,0.52734375
vbench_009,a bicycle slowing down to stop,nvfp4_svdquant,-0.4351307451725006,-0.52734375,-0.130859375,0.44921875
vbench_010,a bicycle accelerating to gain speed,bf16,0.18318311870098114,0.18359375,-0.07666015625,0.453125
vbench_010,a bicycle accelerating to gain speed,nvfp4,0.10405334830284119,0.09521484375,-0.05615234375,0.462890625
vbench_010,a bicycle accelerating to gain speed,nvfp4_svdquant,0.18485219776630402,0.181640625,-0.0184326171875,0.470703125
vbench_011,a car stuck in traffic during rush hour,bf16,-0.5163161754608154,-0.609375,-0.25390625,0.39453125
vbench_011,a car stuck in traffic during rush hour,nvfp4,-0.484317421913147,-0.5703125,-0.171875,0.390625
vbench_011,a car stuck in traffic during rush hour,nvfp4_svdquant,-0.4019787013530731,-0.484375,-0.1787109375,0.4296875
vbench_012,a car turning a corner,bf16,0.3738374412059784,0.373046875,0.08642578125,0.61328125
vbench_012,a car turning a corner,nvfp4,0.764792263507843,0.8046875,0.1240234375,0.6796875
vbench_012,a car turning a corner,nvfp4_svdquant,0.51305091381073,0.5234375,0.15625,0.671875
vbench_013,a car slowing down to stop,bf16,0.4031830430030823,0.408203125,0.0986328125,0.61328125
vbench_013,a car slowing down to stop,nvfp4,0.5726200342178345,0.58984375,0.150390625,0.67578125
vbench_013,a car slowing down to stop,nvfp4_svdquant,0.4552189111709595,0.46484375,0.142578125,0.6328125
vbench_014,a car accelerating to gain speed,bf16,0.6160486936569214,0.640625,0.062255859375,0.58984375
vbench_014,a car accelerating to gain speed,nvfp4,0.3554571568965912,0.357421875,0.052978515625,0.578125
vbench_014,a car accelerating to gain speed,nvfp4_svdquant,0.560291588306427,0.58203125,0.0189208984375,0.59375
vbench_072,Close up of grapes on a rotating table.,bf16,1.2446990013122559,1.3046875,0.2109375,0.7734375
vbench_072,Close up of grapes on a rotating table.,nvfp4,1.1309986114501953,1.1875,0.1484375,0.71875
vbench_072,Close up of grapes on a rotating table.,nvfp4_svdquant,1.3054910898208618,1.3671875,0.3046875,0.80859375
vbench_073,Turtle swimming in ocean.,bf16,0.6959038376808167,0.71484375,0.265625,0.65234375
vbench_073,Turtle swimming in ocean.,nvfp4,1.3448171615600586,1.4140625,0.3359375,0.81640625
vbench_073,Turtle swimming in ocean.,nvfp4_svdquant,1.1861721277236938,1.234375,0.39453125,0.7890625
vbench_074,A storm trooper vacuuming the beach.,bf16,0.3596162796020508,0.36328125,0.045654296875,0.58203125
vbench_074,A storm trooper vacuuming the beach.,nvfp4,0.5668051838874817,0.58203125,0.138671875,0.60546875
vbench_074,A storm trooper vacuuming the beach.,nvfp4_svdquant,0.5953021049499512,0.61328125,0.107421875,0.609375
vbench_075,A panda standing on a surfboard in the ocean in sunset.,bf16,1.473795771598816,1.53125,0.357421875,0.82421875
vbench_075,A panda standing on a surfboard in the ocean in sunset.,nvfp4,1.4131722450256348,1.46875,0.328125,0.8046875
vbench_075,A panda standing on a surfboard in the ocean in sunset.,nvfp4_svdquant,1.4512507915496826,1.5078125,0.361328125,0.8203125
vbench_076,"An astronaut feeding ducks on a sunny afternoon, reflection from the water.",bf16,1.15938138961792,1.203125,0.19921875,0.78515625
vbench_076,"An astronaut feeding ducks on a sunny afternoon, reflection from the water.",nvfp4,0.9889755249023438,1.0234375,0.142578125,0.76171875
vbench_076,"An astronaut feeding ducks on a sunny afternoon, reflection from the water.",nvfp4_svdquant,1.0394216775894165,1.078125,0.1484375,0.75
vbench_077,Two pandas discussing an academic paper.,bf16,1.3550397157669067,1.4140625,0.251953125,0.83203125
vbench_077,Two pandas discussing an academic paper.,nvfp4,0.6794279217720032,0.69921875,0.1513671875,0.7109375
